name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Malcolm Miller,69,SF,,6'7,210,67,53,61,42,50,40
Theo Pinson,69,SF,SG,6'6,218,64,50,65,52,54,45
Amile Jefferson,69,PF,C,6'9,222,57,59,65,41,47,66
Melvin Frazier Jr.,69,SG,SF,6'6,200,61,45,71,55,56,37
Ignas Brazdeikis,69,SF,,6'7,221,68,42,63,55,45,51
Justin James,69,SF,,6'7,190,62,53,59,59,52,53
Yante Maten,69,PF,C,6'8,240,68,56,63,40,46,47
Johnathan Motley,69,PF,C,6'10,230,62,56,66,41,44,65
Terance Mann,69,SG,SF,6'7,215,66,54,66,67,51,40
Jordan McRae,68,SG,SF,6'5,179,74,57,58,46,47,39
Thomas Welsh,68,C,,7'0,255,69,54,57,39,44,65
Isaac Bonga,68,PG,,6'8,180,66,58,64,65,59,57
Jalen Lecque,68,PG,SG,6'4,185,62,48,72,70,47,36
Chris Chiozza,68,PG,,6'0,175,65,39,66,69,51,38
Michael Frazier,68,SG,,6'4,200,67,44,69,60,45,38
Isaiah Hartenstein,68,C,,7'0,249,65,58,62,44,49,62
Duncan Robinson,68,SF,PF,6'8,210,68,47,60,54,43,37
Brandon Goodwin,68,PG,SG,6'2,180,68,41,71,67,48,35
