name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Grant Williams,68,PF,C,6'6,236,68,52,61,49,51,42
Isaiah Todd,68,PF,,6'9,219,68,58,60,45,41,47
Greg Brown,68,SF,PF,6'8,206,69,59,64,39,45,45
C.J. Elleby,68,SG,SF,6'6,200,72,50,64,48,51,50
Ben McLemore,68,SG,SF,6'3,195,71,54,63,55,46,33
Vit Krejci,68,SG,PG,6'8,195,58,53,70,68,54,53
Jeremiah Robinson-Earl,68,PF,,6'8,242,67,59,58,51,45,58
Jock Landale,68,C,,6'11,255,65,60,67,49,53,57
Usman Garuba,68,PF,,6'8,229,61,53,64,52,60,56
Dalano Banton,68,PF,,6'9,204,69,50,64,61,44,32
Isaac Bonga,68,SF,PF,6'8,180,70,53,55,51,45,40
Isaiah Livers,68,SG,,6'6,232,75,46,60,56,44,29
Luka Garza,68,PF,C,6'10,243,67,60,55,42,41,63
Didi Louzada,68,SG,,6'5,188,70,51,60,51,51,52
Vlatko Cancar,68,PF,,6'8,236,73,48,56,45,39,46
Nah'Shon Hyland,68,SG,,6'2,169,76,46,62,58,43,29
Day'Ron Sharpe,68,C,,6'11,265,53,52,63,46,50,68
Josh Green,68,SF,,6'5,200,71,44,67,49,49,48
Sterling Brown,68,SF,,6'5,219,71,51,57,54,44,44
Austin Reaves,68,SG,PG,6'5,197,69,49,76,72,52,44
Miles McBride,68,SG,PG,6'1,195,72,49,67,57,51,35
Quentin Grimes,68,SG,SF,6'4,210,73,50,69,55,50,48
Robert Woodard II,68,PF,,6'6,235,63,54,68,42,53,44
Elijah Hughes,68,SF,,6'5,215,73,52,63,48,42,34
Nick Richards,68,C,,7'0,245,58,55,64,28,46,62
Omer Yurtseven,68,C,,7'0,275,66,58,58,37,42,60
Udonis Haslem,68,PF,C,6'8,235,67,58,54,30,49,58
KZ Okpala,68,PF,,6'8,215,68,55,66,49,48,43
Brandon Boston Jr.,68,SG,SF,6'7,188,74,48,63,54,43,33
Romeo Langford,68,SG,SF,6'4,216,71,49,64,56,43,37
Ayo Dosunmu,68,PG,SG,6'5,200,73,49,63,63,49,38
Georgios Kalaitzakis,68,SF,SG,6'8,192,64,59,69,65,50,40
Keljin Blevins,67,SG,PG,6'4,200,61,52,73,61,62,54
Trent Forrest,66,SG,,6'4,210,69,56,66,62,44,38
