name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Vlatko Cancar,69,PF,,6'8,236,70,52,61,49,42,51
David Duke Jr.,69,SG,SF,6'4,204,73,51,64,56,46,56
Kessler Edwards,69,PF,,6'7,203,64,55,69,48,54,50
McKinley Wright IV,69,PG,,5'11,192,68,44,68,67,54,35
Jaden Hardy,69,SG,,6'4,198,69,57,71,66,46,43
Caleb Houstan,69,SF,,6'8,205,69,41,65,57,47,40
Bol Bol,69,C,,7'2,220,66,69,50,38,40,58
Jay Huff,69,C,,7'1,240,69,59,59,39,40,51
Max Christie,69,SG,SF,6'6,190,70,51,75,58,50,39
Sam Merrill,69,SG,,6'4,205,76,47,56,61,45,39
Killian Tillie,69,PF,C,6'9,220,71,64,59,41,43,42
JD Davison,69,PG,,6'3,195,62,48,68,72,50,40
Jaden Springer,69,SG,,6'4,202,70,47,68,70,58,28
Quinndary Weatherspoon,68,SG,,6'3,205,68,51,72,59,53,34
Mac McClung,68,SG,,6'2,185,69,53,70,66,47,43
Ryan Rollins,68,SG,,6'3,191,70,49,70,68,49,41
Garrett Temple,68,SG,SF,6'5,195,67,46,60,58,62,41
Theo Pinson,68,SG,,6'5,212,68,53,65,53,57,42
Feron Hunt,68,PF,,6'8,195,61,56,65,47,58,45
Xavier Sneed,68,SF,SG,6'5,215,64,59,64,51,52,39
Marcus Garrett,68,SG,,6'5,205,65,46,70,62,59,54
Haywood Highsmith,68,SF,PF,6'4,220,69,48,64,49,47,51
Brandon Boston Jr.,68,SG,,6'6,188,70,48,68,59,47,41
Sam Hauser,68,SF,,6'7,217,73,49,65,44,43,49
Chaundee Brown,67,SG,SF,6'5,215,69,47,66,53,46,42
Isaiah Joe,67,SG,,6'4,165,73,47,66,51,48,33
