Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
178,Derrick Rose,PG,34,NYK,1,0,3,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,0,0,0,1,0,0,0,0,0
179,Terrence Ross,SG,31,PHO,6,0,69,8,27,0.296,6,22,0.273,2,5,0.4,0.407,0,0,,0,8,8,1,1,2,1,6,22
180,Ricky Rubio,PG,32,CLE,3,0,17,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,2,4,6,3,1,0,5,5,0
181,D'Angelo Russell,PG,26,LAL,16,15,473,83,195,0.426,27,87,0.31,56,108,0.519,0.495,20,26,0.769,10,37,47,74,11,5,29,32,213
182,Domantas Sabonis,C,26,SAC,7,7,243,49,99,0.495,1,5,0.2,48,94,0.511,0.5,16,28,0.571,31,46,77,33,10,6,26,28,115
183,Dennis Schroder,PG,29,LAL,16,3,417,41,103,0.398,13,39,0.333,28,64,0.438,0.461,23,28,0.821,3,28,31,46,16,3,20,40,118
184,Landry Shamet,SG,25,PHO,10,1,184,17,45,0.378,11,29,0.379,6,16,0.375,0.5,3,4,0.75,3,14,17,11,2,1,4,15,48
185,Day'Ron Sharpe,C,21,BRK,2,0,20,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,2,4,6,5,0,1,2,3,6
186,Marcus Smart,PG,28,BOS,20,20,679,101,223,0.453,44,122,0.361,57,101,0.564,0.552,52,65,0.8,21,59,80,101,25,5,45,37,298
187,Ish Smith,PG,34,DEN,4,0,12,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,1,0,0,0,2,2
188,Jaden Springer,SG,20,PHI,4,0,17,4,4,1.0,0,0,,4,4,1.0,1.0,1,2,0.5,0,0,0,0,1,0,1,2,9
189,Lamar Stevens,SF,25,CLE,2,0,9,1,2,0.5,1,1,1.0,0,1,0.0,0.75,2,2,1.0,0,3,3,0,0,0,0,0,5
190,Max Strus,SF,26,MIA,23,23,648,76,189,0.402,43,135,0.319,33,54,0.611,0.516,20,25,0.8,14,69,83,33,8,7,6,47,215
191,Edmond Sumner,SG,27,BRK,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
192,Jayson Tatum,SF,24,BOS,20,20,799,185,404,0.458,53,164,0.323,132,240,0.55,0.524,120,137,0.876,26,184,210,105,21,21,56,44,543
193,Cam Thomas,SG,21,BRK,2,0,16,3,7,0.429,0,2,0.0,3,5,0.6,0.429,0,0,,0,1,1,1,0,0,1,2,6
194,Klay Thompson,SF,32,GSW,13,13,468,85,219,0.388,50,136,0.368,35,83,0.422,0.502,21,24,0.875,1,53,54,29,7,4,26,28,241
195,Tristan Thompson,C,31,LAL,6,0,32,5,11,0.455,0,0,,5,11,0.455,0.455,1,5,0.2,4,6,10,2,0,0,1,1,11
196,Xavier Tillman Sr.,C,24,MEM,6,6,183,24,45,0.533,1,4,0.25,23,41,0.561,0.544,3,5,0.6,17,31,48,19,4,4,4,17,52
197,Obi Toppin,PF,24,NYK,11,1,175,30,70,0.429,13,43,0.302,17,27,0.63,0.521,4,5,0.8,10,29,39,7,8,3,8,12,77
198,Karl-Anthony Towns,PF,27,MIN,5,5,180,32,70,0.457,6,24,0.25,26,46,0.565,0.5,21,28,0.75,6,45,51,10,3,4,18,21,91
199,P.J. Tucker,PF,37,PHI,11,11,294,19,51,0.373,14,40,0.35,5,11,0.455,0.51,2,3,0.667,18,32,50,16,13,3,5,28,54
200,Jarred Vanderbilt,PF,23,LAL,15,13,247,24,60,0.4,7,29,0.241,17,31,0.548,0.458,14,20,0.7,19,29,48,12,11,12,13,31,69
201,Gabe Vincent,PG,26,MIA,22,22,672,99,246,0.402,51,135,0.378,48,111,0.432,0.506,30,34,0.882,8,23,31,78,19,4,31,66,279
202,Dean Wade,PF,26,CLE,2,0,11,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,3,3,0,0,0,0,0,2
203,Ish Wainright,SF,28,PHO,6,0,21,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,0,1,1,0,0,1,0,2,3
204,Lonnie Walker IV,SG,24,LAL,13,0,179,29,60,0.483,13,34,0.382,16,26,0.615,0.592,9,12,0.75,1,11,12,11,7,1,4,16,80
205,T.J. Warren,SF,29,PHO,6,0,81,6,19,0.316,1,7,0.143,5,12,0.417,0.342,3,4,0.75,2,5,7,3,1,3,1,5,16
206,Yuta Watanabe,SF,28,BRK,1,0,5,1,2,0.5,1,2,0.5,0,0,,0.75,0,2,0.0,0,1,1,0,0,0,1,0,3
207,Peyton Watson,SG,20,DEN,5,0,14,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,1,3,4,1,0,1,1,2,5
208,Russell Westbrook,PG,34,LAC,5,5,192,43,105,0.41,10,28,0.357,33,77,0.429,0.457,22,25,0.88,9,29,38,37,6,7,20,15,118
209,Derrick White,SG,28,BOS,20,16,593,93,184,0.505,50,110,0.455,43,74,0.581,0.641,31,34,0.912,13,46,59,42,12,20,18,38,267
210,Andrew Wiggins,SF,27,GSW,13,12,442,83,181,0.459,19,64,0.297,64,117,0.547,0.511,32,47,0.681,24,49,73,25,11,15,17,45,217
211,Grant Williams,PF,24,BOS,15,0,265,25,53,0.472,18,40,0.45,7,13,0.538,0.642,8,10,0.8,11,22,33,18,5,6,4,25,76
212,Robert Williams,C,25,BOS,20,4,417,67,85,0.788,0,1,0.0,67,84,0.798,0.788,19,28,0.679,36,83,119,19,9,25,16,44,153
213,Ziaire Williams,SF,21,MEM,4,0,12,2,7,0.286,1,3,0.333,1,4,0.25,0.357,0,0,,0,2,2,2,0,0,2,1,5
214,Trae Young,PG,24,ATL,6,6,230,60,149,0.403,18,54,0.333,42,95,0.442,0.463,37,43,0.86,5,17,22,61,10,4,24,11,175
215,Omer Yurtseven,C,24,MIA,8,0,16,2,7,0.286,0,2,0.0,2,5,0.4,0.286,0,0,,3,2,5,1,0,1,1,2,4
216,Cody Zeller,C,30,MIA,21,0,174,20,35,0.571,0,0,,20,35,0.571,0.571,6,15,0.4,11,37,48,7,2,4,13,28,46
217,Ivica Zubac,C,25,LAC,5,5,130,17,30,0.567,0,0,,17,30,0.567,0.567,12,16,0.75,16,32,48,3,3,1,11,8,46
